id_ibge,nc,votos,urnas_apuradas,prop,secoes_totais
1502954,JAIR BOLSONARO,7326,100.00,50.49,64
1502954,LULA,7185,100.00,49.51,64
1503002,JAIR BOLSONARO,942,100.00,19.98,23
1503002,LULA,3772,100.00,80.02,23
1503044,JAIR BOLSONARO,5535,100.00,53.55,46
1503044,LULA,4802,100.00,46.45,46
1503077,JAIR BOLSONARO,4355,100.00,26.79,73
1503077,LULA,11899,100.00,73.21,73
1503093,JAIR BOLSONARO,6556,100.00,43.05,83
1503093,LULA,8674,100.00,56.95,83
1503101,JAIR BOLSONARO,4565,100.00,28.39,73
1503101,LULA,11516,100.00,71.61,73
1503200,JAIR BOLSONARO,6676,100.00,27.51,96
1503200,LULA,17589,100.00,72.49,96
1503309,JAIR BOLSONARO,14004,100.00,35.83,151
1503309,LULA,25085,100.00,64.17,151
1503408,JAIR BOLSONARO,2704,100.00,37.10,32
1503408,LULA,4584,100.00,62.90,32
1503457,JAIR BOLSONARO,5772,100.00,34.16,77
1503457,LULA,11127,100.00,65.84,77
1503507,JAIR BOLSONARO,5029,100.00,25.28,99
1503507,LULA,14866,100.00,74.72,99
1503606,JAIR BOLSONARO,35796,100.00,62.45,264
1503606,LULA,21526,100.00,37.55,264
1503705,JAIR BOLSONARO,9058,100.00,39.45,113
1503705,LULA,13904,100.00,60.55,113
1503754,JAIR BOLSONARO,3982,100.00,46.93,44
1503754,LULA,4503,100.00,53.07,44
1503804,JAIR BOLSONARO,10431,100.00,44.14,113
1503804,LULA,13198,100.00,55.86,113
1503903,JAIR BOLSONARO,11557,100.00,41.15,120
1503903,LULA,16528,100.00,58.85,120
1504000,JAIR BOLSONARO,4613,100.00,26.78,69
1504000,LULA,12610,100.00,73.22,69
1504059,JAIR BOLSONARO,8584,100.00,45.66,84
1504059,LULA,10215,100.00,54.34,84
1504109,JAIR BOLSONARO,1803,100.00,30.07,29
1504109,LULA,4193,100.00,69.93,29
1504208,JAIR BOLSONARO,74985,100.00,53.99,555
1504208,LULA,63908,100.00,46.01,555
1504307,JAIR BOLSONARO,5961,100.00,31.15,101
1504307,LULA,13178,100.00,68.85,101
1504406,JAIR BOLSONARO,5642,100.00,32.64,88
1504406,LULA,11646,100.00,67.36,88
1504422,JAIR BOLSONARO,30886,100.00,46.13,234
1504422,LULA,36067,100.00,53.87,234
1504455,JAIR BOLSONARO,10099,100.00,67.30,66
1504455,LULA,4908,100.00,32.70,66
1504505,JAIR BOLSONARO,3603,100.00,32.27,52
1504505,LULA,7562,100.00,67.73,52
1504604,JAIR BOLSONARO,5320,100.00,25.61,82
1504604,LULA,15451,100.00,74.39,82
1504703,JAIR BOLSONARO,11761,100.00,27.87,175
1504703,LULA,30445,100.00,72.13,175
1504752,JAIR BOLSONARO,9152,100.00,59.03,82
1504752,LULA,6351,100.00,40.97,82
1504802,JAIR BOLSONARO,19420,100.00,51.57,194
1504802,LULA,18240,100.00,48.43,194
1504901,JAIR BOLSONARO,4999,100.00,24.17,80
1504901,LULA,15680,100.00,75.83,80
1504950,JAIR BOLSONARO,4902,100.00,42.40,45
1504950,LULA,6660,100.00,57.60,45
1504976,JAIR BOLSONARO,3644,100.00,46.62,36
1504976,LULA,4173,100.00,53.38,36
1505007,JAIR BOLSONARO,2388,100.00,27.08,37
1505007,LULA,6429,100.00,72.92,37
1505031,JAIR BOLSONARO,13776,100.00,82.92,75
1505031,LULA,2838,100.00,17.08,75
1505064,JAIR BOLSONARO,18037,100.00,56.16,135
1505064,LULA,14079,100.00,43.84,135
1505106,JAIR BOLSONARO,8577,100.00,30.14,158
1505106,LULA,19876,100.00,69.86,158
1505205,JAIR BOLSONARO,3587,100.00,19.81,78
1505205,LULA,14518,100.00,80.19,78
1505304,JAIR BOLSONARO,14432,100.00,43.04,177
1505304,LULA,19101,100.00,56.96,177
1505403,JAIR BOLSONARO,3112,100.00,25.59,51
1505403,LULA,9050,100.00,74.41,51
1505437,JAIR BOLSONARO,10144,100.00,61.19,73
1505437,LULA,6435,100.00,38.81,73
1505486,JAIR BOLSONARO,12112,100.00,60.11,88
1505486,LULA,8039,100.00,39.89,88
